minute,h_pts,a_pts,score_diff,home_win,game_id,season
1,2.0,0.0,2.0,1,0021700472,2017-18
2,5.0,0.0,5.0,1,0021700472,2017-18
3,9.0,0.0,9.0,1,0021700472,2017-18
4,10.0,2.0,8.0,1,0021700472,2017-18
5,12.0,4.0,8.0,1,0021700472,2017-18
6,14.0,9.0,5.0,1,0021700472,2017-18
7,18.0,13.0,5.0,1,0021700472,2017-18
8,20.0,13.0,7.0,1,0021700472,2017-18
9,22.0,15.0,7.0,1,0021700472,2017-18
10,27.0,16.0,11.0,1,0021700472,2017-18
11,30.0,18.0,12.0,1,0021700472,2017-18
12,32.0,20.0,12.0,1,0021700472,2017-18
13,34.0,20.0,14.0,1,0021700472,2017-18
14,36.0,20.0,16.0,1,0021700472,2017-18
15,39.0,23.0,16.0,1,0021700472,2017-18
16,41.0,25.0,16.0,1,0021700472,2017-18
17,44.0,28.0,16.0,1,0021700472,2017-18
18,44.0,29.0,15.0,1,0021700472,2017-18
19,48.0,36.0,12.0,1,0021700472,2017-18
20,48.0,38.0,10.0,1,0021700472,2017-18
21,50.0,43.0,7.0,1,0021700472,2017-18
22,52.0,46.0,6.0,1,0021700472,2017-18
23,56.0,48.0,8.0,1,0021700472,2017-18
24,60.0,50.0,10.0,1,0021700472,2017-18
25,60.0,52.0,8.0,1,0021700472,2017-18
26,63.0,56.0,7.0,1,0021700472,2017-18
27,66.0,56.0,10.0,1,0021700472,2017-18
28,68.0,59.0,9.0,1,0021700472,2017-18
29,72.0,61.0,11.0,1,0021700472,2017-18
30,72.0,61.0,11.0,1,0021700472,2017-18
31,72.0,61.0,11.0,1,0021700472,2017-18
32,74.0,64.0,10.0,1,0021700472,2017-18
33,76.0,66.0,10.0,1,0021700472,2017-18
34,79.0,68.0,11.0,1,0021700472,2017-18
35,84.0,70.0,14.0,1,0021700472,2017-18
36,88.0,72.0,16.0,1,0021700472,2017-18
37,90.0,74.0,16.0,1,0021700472,2017-18
38,96.0,76.0,20.0,1,0021700472,2017-18
39,98.0,78.0,20.0,1,0021700472,2017-18
40,102.0,78.0,24.0,1,0021700472,2017-18
41,105.0,80.0,25.0,1,0021700472,2017-18
42,105.0,80.0,25.0,1,0021700472,2017-18
43,107.0,82.0,25.0,1,0021700472,2017-18
44,107.0,86.0,21.0,1,0021700472,2017-18
45,109.0,88.0,21.0,1,0021700472,2017-18
46,109.0,90.0,19.0,1,0021700472,2017-18
47,111.0,94.0,17.0,1,0021700472,2017-18
48,111.0,97.0,14.0,1,0021700472,2017-18
49,111.0,97.0,14.0,1,0021700472,2017-18
1,3.0,2.0,1.0,0,0029900016,1999-00
2,5.0,4.0,1.0,0,0029900016,1999-00
3,5.0,6.0,-1.0,0,0029900016,1999-00
4,9.0,6.0,3.0,0,0029900016,1999-00
5,13.0,8.0,5.0,0,0029900016,1999-00
6,16.0,12.0,4.0,0,0029900016,1999-00
7,18.0,16.0,2.0,0,0029900016,1999-00
8,20.0,19.0,1.0,0,0029900016,1999-00
9,22.0,19.0,3.0,0,0029900016,1999-00
10,24.0,23.0,1.0,0,0029900016,1999-00
11,26.0,23.0,3.0,0,0029900016,1999-00
12,27.0,27.0,0.0,0,0029900016,1999-00
13,27.0,29.0,-2.0,0,0029900016,1999-00
14,27.0,34.0,-7.0,0,0029900016,1999-00
15,29.0,34.0,-5.0,0,0029900016,1999-00
16,29.0,36.0,-7.0,0,0029900016,1999-00
17,29.0,36.0,-7.0,0,0029900016,1999-00
18,29.0,38.0,-9.0,0,0029900016,1999-00
19,31.0,38.0,-7.0,0,0029900016,1999-00
20,31.0,38.0,-7.0,0,0029900016,1999-00
21,31.0,42.0,-11.0,0,0029900016,1999-00
22,33.0,42.0,-9.0,0,0029900016,1999-00
23,39.0,42.0,-3.0,0,0029900016,1999-00
24,41.0,46.0,-5.0,0,0029900016,1999-00
25,44.0,46.0,-2.0,0,0029900016,1999-00
26,44.0,48.0,-4.0,0,0029900016,1999-00
27,49.0,48.0,1.0,0,0029900016,1999-00
28,49.0,52.0,-3.0,0,0029900016,1999-00
29,53.0,55.0,-2.0,0,0029900016,1999-00
30,54.0,57.0,-3.0,0,0029900016,1999-00
31,54.0,61.0,-7.0,0,0029900016,1999-00
32,54.0,65.0,-11.0,0,0029900016,1999-00
33,57.0,69.0,-12.0,0,0029900016,1999-00
34,58.0,71.0,-13.0,0,0029900016,1999-00
35,60.0,71.0,-11.0,0,0029900016,1999-00
36,63.0,73.0,-10.0,0,0029900016,1999-00
37,69.0,73.0,-4.0,0,0029900016,1999-00
38,71.0,76.0,-5.0,0,0029900016,1999-00
39,73.0,78.0,-5.0,0,0029900016,1999-00
40,73.0,78.0,-5.0,0,0029900016,1999-00
41,75.0,80.0,-5.0,0,0029900016,1999-00
42,77.0,80.0,-3.0,0,0029900016,1999-00
43,77.0,83.0,-6.0,0,0029900016,1999-00
44,81.0,85.0,-4.0,0,0029900016,1999-00
45,86.0,87.0,-1.0,0,0029900016,1999-00
46,88.0,89.0,-1.0,0,0029900016,1999-00
47,88.0,93.0,-5.0,0,0029900016,1999-00
48,90.0,97.0,-7.0,0,0029900016,1999-00
49,90.0,97.0,-7.0,0,0029900016,1999-00
1,2.0,0.0,2.0,1,0021600743,2016-17
2,6.0,0.0,6.0,1,0021600743,2016-17
3,6.0,5.0,1.0,1,0021600743,2016-17
4,11.0,7.0,4.0,1,0021600743,2016-17
5,13.0,10.0,3.0,1,0021600743,2016-17
6,15.0,15.0,0.0,1,0021600743,2016-17
7,15.0,17.0,-2.0,1,0021600743,2016-17
8,15.0,17.0,-2.0,1,0021600743,2016-17
